,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
7574,2025-01-02 07:10:00,3462.94,3464.92,3457.19,3458.64,5266.65,2025-01-02 07:14:59.999000-03:00,18230194.75377,12356,1996.813,6912771.17497,0,3452.6530933636263,3430.1185740012497,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7575,2025-01-02 07:15:00,3458.65,3465.35,3458.64,3464.4,10756.993,2025-01-02 07:19:59.999000-03:00,37240068.59093,12961,4820.661,16688959.36712,0,3454.78889457024,3431.4629436482596,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7576,2025-01-02 07:20:00,3464.39,3469.9,3463.26,3467.08,8854.454,2025-01-02 07:24:59.999000-03:00,30704163.68906,13642,4939.677,17129201.83581,0,3457.023641012014,3432.859690956171,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7577,2025-01-02 07:25:00,3467.09,3476.17,3466.5,3470.57,14706.27,2025-01-02 07:29:59.999000-03:00,51051917.75869,20062,8338.654,28948627.72633,0,3459.486615373466,3434.3385266049486,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7578,2025-01-02 07:30:00,3470.56,3474.61,3466.3,3474.11,8599.968,2025-01-02 07:34:59.999000-03:00,29851639.69658,17150,3784.354,13137571.09776,0,3462.1454125782902,3435.8981922282837,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7579,2025-01-02 07:35:00,3474.1,3474.71,3467.34,3471.21,6118.63,2025-01-02 07:39:59.999000-03:00,21238084.38694,15125,3035.942,10538429.572,0,3463.7935193822377,3437.282969003645,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7580,2025-01-02 07:40:00,3471.21,3472.25,3466.66,3467.63,4582.582,2025-01-02 07:44:59.999000-03:00,15896845.58698,10144,2187.047,7586689.23366,0,3464.49106131274,3438.473048650561,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7581,2025-01-02 07:45:00,3467.64,3471.36,3466.12,3467.07,4567.809,2025-01-02 07:49:59.999000-03:00,15842101.17476,10575,1643.501,5700414.20922,0,3464.959959255878,3439.594497723088,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7582,2025-01-02 07:50:00,3467.06,3468.9,3463.24,3465.62,7080.416,2025-01-02 07:54:59.999000-03:00,24536259.76888,12875,2542.11,8809658.61933,0,3465.0799666639004,3440.615105655516,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7583,2025-01-02 07:55:00,3465.62,3470.66,3465.3,3468.68,4574.307,2025-01-02 07:59:59.999000-03:00,15865140.35024,9888,2582.609,8957130.6653,0,3465.7345181795545,3441.7156897474565,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7584,2025-01-02 08:00:00,3468.68,3469.03,3464.48,3465.96,3902.047,2025-01-02 08:04:59.999000-03:00,13526953.94331,9969,1573.485,5454805.32676,0,3465.7755148741808,3442.6664470122623,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7585,2025-01-02 08:05:00,3465.96,3471.81,3463.65,3468.34,6883.985,2025-01-02 08:09:59.999000-03:00,23869507.62288,12398,3012.307,10446854.76621,0,3466.241784897057,3443.6732530117815,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7586,2025-01-02 08:10:00,3468.35,3468.35,3461.08,3463.13,4283.087,2025-01-02 08:14:59.999000-03:00,14836173.59309,10297,1475.381,5110680.15664,0,3465.6760058248647,3444.4362626975944,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
